title,price,location,condition,url
Lg Optimus g lg g1,150 lv.,"Ovcha kupel 2, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/lg-optimus-g-lg-g1-CID632-ID8q801.html
Statsionaren telefon,12 lv.,"2-ri korpus, gr. Shumen, Oblast Shumen",izpolzvano,https://www.olx.bg/ad/statsionaren-telefon-CID632-ID7PT8G.html
Samsung S8 plus,100 lv.,"gr. Dimitrovgrad, Oblast Haskovo",izpolzvano,https://www.olx.bg/ad/samsung-s8-plus-CID632-ID8cPTC.html
Telefon iphon 6s,180 lv.,"Ovcharski, gr. Haskovo, Oblast Haskovo",izpolzvano,https://www.olx.bg/ad/telefon-iphon-6s-CID632-ID8q81I.html
Realme 7 Pro Dual Sim 8GB RAM 128GB,549 lv.,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",novo,https://www.olx.bg/ad/realme-7-pro-dual-sim-8gb-ram-128gb-CID632-ID8nNsi.html
Telefon Samsung J5,135 lv.,"Idealen tsentar, gr. Pleven, Oblast Pleven",izpolzvano,https://www.olx.bg/ad/telefon-samsung-j5-CID632-ID8q84n.html
Vertu Constellation Promo,500 lv.,"Tsentar, gr. Sliven, Oblast Sliven",izpolzvano,https://www.olx.bg/ad/vertu-constellation-promo-CID632-ID83iFW.html
Huawei p10 lite gold,99 lv.,"Tlachnitsi, gr. Gabrovo, Oblast Gabrovo",izpolzvano,https://www.olx.bg/ad/huawei-p10-lite-gold-CID632-ID8q83O.html
Motorola one macro v garantsiya !,170 lv.,"gr. Panagyurishte, Oblast Pazardzhik",izpolzvano,https://www.olx.bg/ad/motorola-one-macro-v-garantsiya-CID632-ID8kBue.html
Xiaomi Redmi note 8 T,260 lv.,"Rodina 2, gr. Ruse, Oblast Ruse",izpolzvano,https://www.olx.bg/ad/xiaomi-redmi-note-8-t-CID632-ID8q7N9.html
Honor 20 pro telefon,600 lv.,"Zdravets, gr. Ruse, Oblast Ruse",izpolzvano,https://www.olx.bg/ad/honor-20-pro-telefon-CID632-ID8ovum.html
Nov protivoudaren mini telefon VM30 /hendsfri 60lv.,60 lv.,"Promishlena zona - Iztok, gr. Pazardzhik, Oblast Pazardzhik",novo,https://www.olx.bg/ad/nov-protivoudaren-mini-telefon-vm30-hendsfri-60lv-CID632-ID7VTbT.html
Prodavam Nokia 6.1 kato nova,170 lv.,"Hadzhi Dimitar, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/prodavam-nokia-6-1-kato-nova-CID632-ID8iGKu.html
Motorola talkabout retro gsm,10 lv.,"Lyulin 6, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/motorola-talkabout-retro-gsm-CID632-ID8q7QQ.html
Xiaomi Mi A2 Lite,169 lv.,"Reduta, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/xiaomi-mi-a2-lite-CID632-ID8odyM.html
Udaro i vodno ustoichev telefon,45 lv.,"Idealen tsentar, gr. Pleven, Oblast Pleven",novo,https://www.olx.bg/ad/udaro-i-vodno-ustoichev-telefon-CID632-ID8q7Rc.html
Samsung galaksi a71,400 lv.,"Tsentralen yuzhen rayon, gr. Ruse, Oblast Ruse",izpolzvano,https://www.olx.bg/ad/samsung-galaksi-a71-CID632-ID8q7Rn.html
Lenovo Etab7 7401l (7 inch),100 lv.,"Mladezhki halm, gr. Haskovo, Oblast Haskovo",izpolzvano,https://www.olx.bg/ad/lenovo-etab7-7401l-7-inch-CID632-ID8q7Qw.html
Prodavam GSM HUAWEI HONOR 8 X (64 GB/4 GB RAM),255 lv.,"Suhata reka, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/prodavam-gsm-huawei-honor-8-x-64-gb-4-gb-ram-CID632-ID8q7SH.html
Samsung S3650 dva broya v zhalt i byal kapak,25 lv.,"Samara 3, gr. Stara Zagora, Oblast Stara Zagora",izpolzvano,https://www.olx.bg/ad/samsung-s3650-dva-broya-v-zhalt-i-byal-kapak-CID632-ID8oibT.html
