condition,location,price,title,url
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",589.0,REALME X50 6GB 128GB Dual SIM Ice Silver Smartfon NOV !!!,https://www.olx.bg/ad/realme-x50-6gb-128gb-dual-sim-ice-silver-smartfon-nov-CID632-ID8ouqY.html
izpolzvano,"Kolyu Ficheto, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",349.0,100% originalni! Airpods PRO - Garantsioya! 18lv/mes Lizing + dokumenti,https://www.olx.bg/ad/100-originalni-airpods-pro-garantsioya-18lv-mes-lizing-dokumenti-CID632-ID8h5G7.html
izpolzvano,"Tsentar, gr. Plovdiv, Oblast Plovdiv",320.0,Prodavam Xiaomi Redmi Note 9 Pro 128/6GB,https://www.olx.bg/ad/prodavam-xiaomi-redmi-note-9-pro-128-6gb-CID632-ID8sjkw.html
izpolzvano,"Vitosha, gr. Sofiya, Oblast Sofiya-grad",410.0,"Iphone 8 64GB sas slushalki i zaryadno, v dobro sastoyanie",https://www.olx.bg/ad/iphone-8-64gb-sas-slushalki-i-zaryadno-v-dobro-sastoyanie-CID632-ID8sjkH.html
izpolzvano,"Belite brezi, gr. Sofiya, Oblast Sofiya-grad",900.0,Iphone 11 red 64gb,https://www.olx.bg/ad/iphone-11-red-64gb-CID632-ID8sjl5.html
izpolzvano,"Zona B-5, gr. Sofiya, Oblast Sofiya-grad",90.0,Huawei Y6 2017,https://www.olx.bg/ad/huawei-y6-2017-CID632-ID8sjlr.html
novo,"Beli Lom, gr. Razgrad, Oblast Razgrad",650.0,*palen komplekt Iphone 64gb,https://www.olx.bg/ad/palen-komplekt-iphone-64gb-CID632-ID8sjgQ.html
izpolzvano,"Ivan Vazov, gr. Sofiya, Oblast Sofiya-grad",145.0,IPhone 6s 16GB Rozov ( Rose Gold ) + 7 BEZPLATNI KEYSA,https://www.olx.bg/ad/iphone-6s-16gb-rozov-rose-gold-7-bezplatni-keysa-CID632-ID8loRf.html
novo,"Idealen tsentar, gr. Pleven, Oblast Pleven",100.0,Nokia/Nokia 3410 perfektna s dva butikovi panela originalni,https://www.olx.bg/ad/nokia-nokia-3410-perfektna-s-dva-butikovi-panela-originalni-CID632-ID8hiS7.html
izpolzvano,"Borovo, gr. Sofiya, Oblast Sofiya-grad",225.0,Samsung A20e,https://www.olx.bg/ad/samsung-a20e-CID632-ID8sj8L.html
izpolzvano,"Storgoziya, gr. Pleven, Oblast Pleven",130.0,Telefon LG,https://www.olx.bg/ad/telefon-lg-CID632-ID82T5Z.html
izpolzvano,"Akatsiya, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",12.0,Nokia asha 501 _ red,https://www.olx.bg/ad/nokia-asha-501-red-CID632-ID8oHww.html
